n;cod_jcyl;provincia;municipio;localidad;denominacion;categoria;latitud;longitud;altitud
65;34-206-0002-001-0000-000;Palencia;Villada;Villada;Iglesia de San Fructuoso de Villada;Monumento;42.254919;-4.966284;794
66;24-080-0001-003-0000-000;León;Grajal de Campos;Grajal de Campos;La Villa de Grajal de Campos;Conjunto histórico;42.32024;-5.02048;796
67;24-080-0001-001-0000-000;León;Grajal de Campos;Grajal de Campos;Castillo de Grajal de Campos;Monumento;42.322015;-5.02108;799
68;24-080-0001-004-0000-000;León;Grajal de Campos;Grajal de Campos;Palacio de los Condes de Grajal de Campos;Monumento;42.321274;-5.019596;805
69;24-139-0006-005-0000-000;León;Sahagún;Sahagún;La Villa de Sahagún;Conjunto histórico;42.37014;-5.030849;818
70;24-139-0006-005-0000-000;León;Sahagún;Sahagún;Las Murallas de Sahagún;Conjunto histórico;42.37014;-5.030849;818
71;24-139-0006-002-0000-000;León;Sahagún;Sahagún;Iglesia de la Peregrina de Sahagún;Monumento;42.367778;-5.032438;831
72;24-139-0006-004-0000-000;León;Sahagún;Sahagún;Iglesia de San Tirso de Sahagún;Monumento;42.370916;-5.032524;816
73;24-139-0006-006-0000-000;León;Sahagún;Sahagún;Ruinas del Monasterio de San Facundo de Sahagún;Monumento;42.371097;-5.033008;814
74;24-139-0006-006-0000-000;León;Sahagún;Sahagún;Ruinas San Primitivo de Sahagún;Monumento;42.371097;-5.033008;814
75;24-139-0006-003-0000-000;León;Sahagún;Sahagún;Iglesia de San Lorenzo de Sahagún;Monumento;42.372986;-5.030089;822
76;24-094-0001-017-0000-000;León;Mansilla de las Mulas;Mansilla de las Mulas;Horreo de Mansilla de Mansilla de las Mulas;Hórreos y pallozas;42.501389;-5.417500;797
77;24-094-0001-002-0000-000;León;Mansilla de las Mulas;Mansilla de las Mulas;Recinto Murado de Mansilla de las Mulas;Monumento;42.498878;-5.419258;796
78;24-000-0000-053-0000-000;León;Mansilla Mayor;Villamoros de Mansilla;Yacimiento Arqueologico de Villamoros de Mansilla;Zona Arqueológica;42.5288608192;-5.428142;840
79;24-095-0004-001-0000-000;León;Mansilla Mayor;Villaverde de Sandoval;Monasterio de Santa Maria de Sandoval de Villaverde de Sandoval;Monumento;42.49939;-5459317.00;785
80;24-089-0002-009-0000-000;León;León;León;Determinadas Zonas de la Ciudad de Leon;Conjunto histórico;42.59816;-5.56763;833
81;24-089-0002-131-0000-000;León;León;León;Archivo Historico Provincial de Leon;Archivos. museos y bibliotecas;42.60221;-5.57235;837
82;24-089-0002-132-0000-000;León;León;León;Biblioteca Pública de Leon;Archivos. museos y bibliotecas;42.59537;-557160.00;828
83;24-089-0002-004-0000-000;León;León;León;Castillo de Leon;Castillos;42.60234;-5.57021;837
84;24-089-0002-089-0000-000;León;León;León;Horreo de Leon;Hórreos y pallozas;42.59013;-5.56508;818
85;24-089-0002-089-0000-000;León;León;León;Locomotora English Electric de Leon;Locomotora;42.59013;-5.56508;818
86;24-089-0002-089-0000-000;León;León;León;Locomotora Mikado de Leon;Locomotora;42.59013;-5.56508;818
87;24-089-0002-002-0000-000;León;León;León;Casa de botines de Leon;Monumento;42.598411;-5.57073;831
88;24-089-0002-003-0000-000;León;León;León;Casa Palacio de Fernandez Cadorniga de Leon;Monumento;42.595734;-5.569289;828
89;24-089-0002-005-0000-000;León;León;León;Catedral de Santa Maria de Leon;Monumento;42.599673;-5.566675;835
90;24-089-0002-007-0000-000;León;León;León;Convento de San Marcos de Leon;Monumento;42.601999;-5.58208;831
91;24-089-0002-011-0000-000;León;León;León;Edificio Neomudejar de Leon ;Monumento;42.59855;-5.576011;829
92;24-089-0002-012-0000-000;León;León;León;Fabrica de productos Quimicos Abello de Leon;Monumento;42.598505;-5.583462;824
93;24-089-0002-013-0000-000;León;León;León;Fachada de la Casa de las Carnicerias de Leon;Monumento;42.596913;-5.567845;834
94;24-089-0002-014-0000-000;León;León;León;Hotel Alfonso V de Leon;Monumento;42.598551;-5.572477;830
95;24-089-0002-015-0000-000;León;León;León;Iglesia de San Salvador de Palat del Rey;Monumento;42.597751;-5.568114;836
96;24-089-0002-016-0000-000;León;León;León;Iglesia de Santa Maria del Camino o Mercado de Leon;Monumento;42.595028;-5.568927;826
97;24-089-0002-017-0000-000;León;León;León;Iglesia Colegiata de Leon;Monumento;42.601015;-5.571111;836
98;24-089-0002-019-0000-000;León;León;León;Palacio de los Guzmanes de Leon;Monumento;42.598449;-5.570137;833
99;24-089-0002-020-0000-000;León;León;León;Palacio del Conde Luna de Leon;Monumento;42.597133;-5.56912;835
100;24-089-0002-023-0000-000;León;León;León;Recinto de las Murallas de Leon;Monumento;42.601125;-5.568823;838
101;24-089-0002-021-0000-000;León;León;León;Torreon de San Pelayo de Leon;Monumento;42.600179;-5.568209;836
102;4-142-0008-006-0000-000;León;San Andrés del Rabanedo;Trobajo del Camino;Crucero de Trobajo del Camino;Rollos de Justicia;42.59833;-5.59855;827
103;;León;San Andrés del Rabanedo*;San Andrés del Rabanedo*;Crucero del Mirador de la Cruz de San Andrés del Rabanedo;Rollos de Justicia;42.5938905;-5.614496;867
104;24-189-0000-007-0000-000;León;Valverde de la Virgen;La Virgen del Camino;Santuario de la Virgen del Camino;Monumento;42.580047;-5.641502;905
105;24-189-0007-012-0000-000;León;Valverde de la Virgen;Valverde de la Virgen;Horreo Valverde de Valverde de la Virgen;Hórreos y pallozas;42.57225;-5.66881;899
106;24-082-0001-001-0000-000;León;Hospital de Órbigo;Hospital de Órbigo;Puente Antiguo de Hospital de orbigo;Monumento;42.463955;-5.879346;819
107;24-148-0003-021-0000-000;León;San Justo de la Vega;San Justo de la Vega;Crucero de Santo Toribio de San Justo de la Vega;Rollos de Justicia;42.45395;-5.99991;915
108;00-000-0000-038-0000-000;León;Astorga;Astorga;Calzada de la Plata en Castilla y Leon de Astorga;Conjunto histórico;42.39717;-5.80331;836
109;24-008-0001-005-0000-000;León;Astorga;Astorga;La Cuidad de Astorga;Conjunto histórico;42.45455;-6.05544;867
110;24-008-0001-035-0000-000;León;Astorga;Astorga;Las Murallas de Astorga;Castillos;42.455265;-6.05558;863
111;24-008-0001-001-0000-000;León;Astorga;Astorga;Ayuntamiento de Astorga;Monumento;42.454239;-6.05297;865
112;24-008-0001-003-0000-000;León;Astorga;Astorga;Catedral de Santa Maria de Astorga;Monumento;42.457925;-6.056931;869
113;24-008-0001-004-0000-000;León;Astorga;Astorga;Ergastula Romana de Astorga;Monumento;42.454253;-6.052591;865
114;24-008-0001-006-0000-000;León;Astorga;Astorga;Palacio Episcopal de Astorga;Monumento;42.457809;-6.055925;858
115;24-152-0008-002-0000-000;León;Santa Colomba de Somoza;Rabanal del Camino;Iglesia Parroquial de la Asuncion de Rabanal del Camino;Monumento;42.482267;-6.284884;1153
